Category,S1_Acc,DASE_Acc,State,Commit_Reason,Steps,Final_X,Spatial_Cost,Alpha_Weight,Cost,Tokens,Duration,Infra_Noise,Infra_Noise_Rate
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.292174,105732,336.31,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.231486,83396,350.73,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.14958,55191,322.72,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,8,8,0.08,0.2,0.228233,81941,279.33,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.30487,114259,552.66,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.475423,173758,649.04,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.264894,95980,343.94,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,1,0.15,0.2,0.401577,144463,992.17,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,1,0.15,0.2,0.617891,218993,902.16,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-7,0.15,0.2,0.364307,134803,627.08,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,10,-8,0.1,0.2,0.329523,121638,436.75,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.263941,99211,350.25,0,0.0
Frontier Math (AIME),0,1,STABLE,right_wall,12,8,0.12,0.2,0.223773,80960,443.16,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,-1,0.15,0.2,0.648856,226904,1266.96,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,10,-8,0.1,0.2,0.355399,126425,470.02,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,8,-8,0.08,0.2,0.221934,79193,361.75,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,7,0.15,0.2,0.333868,120815,583.15,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-3,0.15,0.2,0.397405,149282,588.12,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.317178,114779,435.69,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,14,-8,0.14,0.2,0.410761,148784,672.5,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.261935,93724,362.18,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.269211,97751,375.63,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,3,0.15,0.2,0.331536,121084,651.25,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.114362,42826,343.68,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.202188,74715,185.15,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,1,0.15,0.2,0.360639,132242,495.41,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.265246,95370,413.54,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.187455,70795,295.95,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.299574,106055,310.77,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,10,8,0.1,0.2,0.367017,145570,562.85,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.208363,77206,298.09,0,0.0
Frontier Math (AIME),1,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.422864,158028,616.48,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,10,-8,0.1,0.2,0.344743,122077,416.92,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,3,0.15,0.2,0.330331,121213,663.96,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.317099,113747,379.47,0,0.0
Frontier Math (AIME),0,0,STABLE,left_wall,8,-8,0.08,0.2,0.190299,69845,384.34,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,14,-8,0.14,0.2,0.403643,143981,651.75,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.246224,93814,353.03,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,8,8,0.08,0.2,0.261118,93782,438.12,0,0.0
Frontier Math (AIME),0,0,STABLE,right_wall,8,8,0.08,0.2,0.140633,51462,205.77,0,0.0
Frontier Math (AIME),0,1,UNSTABLE,fallback,15,-1,0.15,0.2,0.593231,209784,912.32,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,10,8,0.1,0.2,0.126011,47826,211.34,0,0.0
Frontier Math (AIME),1,1,STABLE,right_wall,12,8,0.12,0.2,0.283628,102858,388.3,0,0.0
Frontier Math (AIME),0,1,STABLE,left_wall,12,-8,0.12,0.2,0.485908,171064,730.9,0,0.0
Frontier Math (AIME),1,1,STABLE,left_wall,8,-8,0.08,0.2,0.173616,67221,357.91,0,0.0
Frontier Math (AIME),0,0,UNSTABLE,fallback,15,3,0.15,0.2,0.487451,174634,746.9,0,0.0
