Category,FM_Acc,Tokens_In,Tokens_Out,Total_Tokens,Cost,Duration,Infra_Noise_Rate,Endpoint,Total_Inferences
Frontier Math (AIME),1,4563,1225,5788,0.05344000,18.74,0,claude-opus-4-6,1
Frontier Math (AIME),1,4605,924,5529,0.04612500,11.26,0,claude-opus-4-6,1
Frontier Math (AIME),1,4614,981,5595,0.04759500,11.36,0,claude-opus-4-6,1
Frontier Math (AIME),1,4687,727,5414,0.04161000,10.24,0,claude-opus-4-6,1
Frontier Math (AIME),1,4624,1091,5715,0.05039500,15.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4571,1260,5831,0.05435500,17.20,0,claude-opus-4-6,1
Frontier Math (AIME),0,4645,1262,5907,0.05477500,18.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4681,851,5532,0.04468000,11.46,0,claude-opus-4-6,1
Frontier Math (AIME),1,4751,440,5191,0.03475500,7.58,0,claude-opus-4-6,1
Frontier Math (AIME),1,4863,915,5778,0.04719000,15.36,0,claude-opus-4-6,1
Frontier Math (AIME),1,4655,719,5374,0.04125000,10.34,0,claude-opus-4-6,1
Frontier Math (AIME),1,4749,1783,6532,0.06832000,28.78,0,claude-opus-4-6,1
Frontier Math (AIME),1,4935,1229,6164,0.05540000,17.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4748,1409,6157,0.05896500,21.50,0,claude-opus-4-6,1
Frontier Math (AIME),1,4712,1318,6030,0.05651000,18.94,0,claude-opus-4-6,1
Frontier Math (AIME),1,4622,801,5423,0.04313500,10.55,0,claude-opus-4-6,1
Frontier Math (AIME),0,4679,1429,6108,0.05912000,22.63,0,claude-opus-4-6,1
Frontier Math (AIME),0,4649,1337,5986,0.05667000,18.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4587,1556,6143,0.06183500,20.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4655,900,5555,0.04577500,9.79,0,claude-opus-4-6,1
Frontier Math (AIME),1,4640,853,5493,0.04452500,12.60,0,claude-opus-4-6,1
Frontier Math (AIME),1,4612,783,5395,0.04263500,12.70,0,claude-opus-4-6,1
Frontier Math (AIME),1,4755,1382,6137,0.05832500,20.07,0,claude-opus-4-6,1
Frontier Math (AIME),1,4658,1394,6052,0.05814000,19.56,0,claude-opus-4-6,1
Frontier Math (AIME),1,4719,1252,5971,0.05489500,18.84,0,claude-opus-4-6,1
Frontier Math (AIME),1,4604,1109,5713,0.05074500,17.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4684,1943,6627,0.07199500,27.85,0,claude-opus-4-6,1
Frontier Math (AIME),1,4614,1062,5676,0.04962000,17.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4589,1317,5906,0.05587000,14.13,0,claude-opus-4-6,1
Frontier Math (AIME),1,4618,1002,5620,0.04814000,13.52,0,claude-opus-4-6,1
Frontier Math (AIME),1,4745,1420,6165,0.05922500,17.61,0,claude-opus-4-6,1
Frontier Math (AIME),1,4567,632,5199,0.03863500,9.42,0,claude-opus-4-6,1
Frontier Math (AIME),0,4697,1107,5804,0.05116000,11.68,0,claude-opus-4-6,1
Frontier Math (AIME),1,4674,1190,5864,0.05312000,15.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4666,1282,5948,0.05538000,14.64,0,claude-opus-4-6,1
Frontier Math (AIME),1,4645,1129,5774,0.05145000,16.69,0,claude-opus-4-6,1
Frontier Math (AIME),1,4604,575,5179,0.03739500,9.21,0,claude-opus-4-6,1
Frontier Math (AIME),1,4607,903,5510,0.04561000,15.02,0,claude-opus-4-6,1
Frontier Math (AIME),0,4590,1286,5876,0.05510000,24.30,0,claude-opus-4-6,1
Frontier Math (AIME),1,4581,595,5176,0.03778000,7.58,0,claude-opus-4-6,1
Frontier Math (AIME),1,4650,787,5437,0.04292500,11.06,0,claude-opus-4-6,1
Frontier Math (AIME),1,4680,1269,5949,0.05512500,20.79,0,claude-opus-4-6,1
Frontier Math (AIME),1,4605,1320,5925,0.05602500,17.10,0,claude-opus-4-6,1
Frontier Math (AIME),1,4591,892,5483,0.04525500,15.77,0,claude-opus-4-6,1
Frontier Math (AIME),1,4743,1386,6129,0.05836500,17.92,0,claude-opus-4-6,1
Frontier Math (AIME),1,4608,1373,5981,0.05736500,21.50,0,claude-opus-4-6,1
Frontier Math (AIME),1,4692,1247,5939,0.05463500,15.87,0,claude-opus-4-6,1
Frontier Math (AIME),1,4568,662,5230,0.03939000,10.34,0,claude-opus-4-6,1
Frontier Math (AIME),1,4666,1218,5884,0.05378000,19.15,0,claude-opus-4-6,1
Frontier Math (AIME),1,4658,897,5555,0.04571500,10.96,0,claude-opus-4-6,1
Frontier Math (AIME),1,4611,1324,5935,0.05615500,22.53,0,claude-opus-4-6,1
Frontier Math (AIME),1,4709,1269,5978,0.05527000,14.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4641,453,5094,0.03453000,8.91,0,claude-opus-4-6,1
Frontier Math (AIME),1,4718,1014,5732,0.04894000,16.69,0,claude-opus-4-6,1
Frontier Math (AIME),1,4587,962,5549,0.04698500,9.95,0,claude-opus-4-6,1
Frontier Math (AIME),1,4734,933,5667,0.04699500,13.60,0,claude-opus-4-6,1
Frontier Math (AIME),0,4570,1270,5840,0.05460000,21.40,0,claude-opus-4-6,1
